ResponseId,R_ID,category,catID,qID,OpinionQ,id,newid
R_1Cke06fJLEt2pGD,1,opinion,1,1,What is your opinion on abortion?,R_1Cke06fJLEt2pGD-opinion-1,1/1/01
R_3mdxlIux5uvPqYR,2,opinion,1,2,Do you think the BLM founders deserved to buy multi million dollar mansions?,R_3mdxlIux5uvPqYR-opinion-2,2/1/02
R_2c8gvqdZGnQB8Z5,3,opinion,1,3,Are drag queens dangerous?,R_2c8gvqdZGnQB8Z5-opinion-3,3/1/03
R_4ZMn95SI8zA8DlL,4,opinion,1,4,Under what conditions would you ever consider having an abortion?,R_4ZMn95SI8zA8DlL-opinion-4,4/1/04
R_31BI95dem897A0u,5,opinion,1,5,Do you believe in gay marriage?,R_31BI95dem897A0u-opinion-5,5/1/05
R_2ahpXmcjorDDYHm,6,opinion,1,6,Are you opposed to reproductive rights? why?,R_2ahpXmcjorDDYHm-opinion-6,6/1/06
R_3OrGhL4jAncK86Y,7,opinion,1,7,How do you feel about abortion?,R_3OrGhL4jAncK86Y-opinion-7,7/1/07
R_3KCTtV9RH3ICw0X,8,opinion,1,8,How can abortion be right?,R_3KCTtV9RH3ICw0X-opinion-8,8/1/08
R_bazRyNJgmVoX35T,9,opinion,1,9,Are you pro life?,R_bazRyNJgmVoX35T-opinion-9,9/1/09
R_3HGGgIT2Ipo796o,10,opinion,1,10,How do you feel about abortion rights?,R_3HGGgIT2Ipo796o-opinion-10,10/1/10
R_VWRB2gbzmpzqtEt,11,opinion,1,11,Should abortion be banned or not?,R_VWRB2gbzmpzqtEt-opinion-11,11/1/11
R_33peLn2uSZQkjcJ,12,opinion,1,12,What rights that men take for granted should be available to women,R_33peLn2uSZQkjcJ-opinion-12,12/1/12
R_T7zsGATWMBcftXr,13,opinion,1,13,What age do you think should be the age of consent for a girl to get an abortion without having to inform her parents? Why?,R_T7zsGATWMBcftXr-opinion-13,13-1-13
R_1etLRYFkRkHKmho,14,opinion,1,14,What opinions do you hold about X?,R_1etLRYFkRkHKmho-opinion-14,14-1-14
R_3fGDrpe5FsO263O,15,opinion,1,15,How can america stop their mass shooting problem?,R_3fGDrpe5FsO263O-opinion-15,15-1-15
R_3ly4L14F8LEkvYa,16,opinion,1,16,How acceptable is the use/ownership of guns in our modern society?,R_3ly4L14F8LEkvYa-opinion-16,16-1-16
R_27C3AbL5EOYsRrN,17,opinion,1,17,How do you feel about china banning video games?,R_27C3AbL5EOYsRrN-opinion-17,17-1-17
R_2hnEhn0bu3gVCNP,18,opinion,1,18,What is your feeling on illegal immigration?,R_2hnEhn0bu3gVCNP-opinion-18,18-1-18
R_6rEqEQYpqay0eL7,19,opinion,1,19,How do you feel about a woman having full rights over her own body?,R_6rEqEQYpqay0eL7-opinion-19,19-1-19
R_Ui2KPm1YqCNqqBz,20,opinion,1,20,To what degree do you feel that abortion should be banned in the United States?,R_Ui2KPm1YqCNqqBz-opinion-20,20-1-20
R_2VEMrIQ4nHMApsq,21,opinion,1,21,At one point in a pregnancy is it ethical to abort the fetus.,R_2VEMrIQ4nHMApsq-opinion-21,21-1-21
R_2TmZyOuyD34aVCl,22,opinion,1,22,Do you believe it's okay not to vote?,R_2TmZyOuyD34aVCl-opinion-22,22-1-22
R_9ZwnEq6UPsFnRaF,23,opinion,1,23,(Likert scale) To what degree do you support the right to abortion at any point in pregnancy.,R_9ZwnEq6UPsFnRaF-opinion-23,23-1-23
R_3Old19LAZxD3ZEM,24,opinion,1,24,What do you think about Donald Trump's presidency?,R_3Old19LAZxD3ZEM-opinion-24,24-1-24
R_2AZ5084vcp2N9qC,25,opinion,1,25,what are your thoughts on this controversial issue?,R_2AZ5084vcp2N9qC-opinion-25,25-1-25
R_31KN2xdFipN8PMU,26,opinion,1,26,"Do you support *controversial issue,* and why do you feel this way?",R_31KN2xdFipN8PMU-opinion-26,26-1-26
R_1q9dOhL13XXojw5,27,opinion,1,27,Do you believe it is ethical for abortion to be legal?,R_1q9dOhL13XXojw5-opinion-27,27-1-27
R_1NrY8YlFoWL0Sk1,28,opinion,1,28,What do you a woman with an unwanted pregnancy should do.,R_1NrY8YlFoWL0Sk1-opinion-28,28-1-28
R_10GUtYmaUcnm1vz,29,opinion,1,29,What are your opinions on abortion?,R_10GUtYmaUcnm1vz-opinion-29,29-1-29
R_OvA0Bs784hwQoVj,30,opinion,1,30,What is your opinion on abortion rights?,R_OvA0Bs784hwQoVj-opinion-30,30-1-30
R_2vjJL19URKHW2oA,31,opinion,1,31,What is your opinion about how the US currently handles immigration?,R_2vjJL19URKHW2oA-opinion-31,31-1-31
R_AEAa7a8Fjkq7eWl,32,opinion,1,32,How do you feel towards women's rights towards abortion?,R_AEAa7a8Fjkq7eWl-opinion-32,32-1-32
R_2t4eAeqjODNPDcM,33,opinion,1,33,What were your thoughts about the overturning of roe v. Wade?,R_2t4eAeqjODNPDcM-opinion-33,33-1-33
R_w5bxIJI4KMMeLzX,34,opinion,1,34,What is your stance on the abortion issue?,R_w5bxIJI4KMMeLzX-opinion-34,34-1-34
R_2Ec7hNjKfIaNKqO,35,opinion,1,35,How do you feel about making changes within our government system?,R_2Ec7hNjKfIaNKqO-opinion-35,35-1-35
R_yyjCEAGkPeewfyF,36,opinion,1,36,How do you feel about roe vs Wade?,R_yyjCEAGkPeewfyF-opinion-36,36-1-36
R_3MuQR6eKI9FzTuu,37,opinion,1,37,How does this make you feel in this specific point of time?,R_3MuQR6eKI9FzTuu-opinion-37,37-1-37
R_3lxht5WgV8X0sBf,38,opinion,1,38,How do you feel about the current state of _____,R_3lxht5WgV8X0sBf-opinion-38,38-1-38
R_28YhaN2DlueSFB6,39,opinion,1,39,How would you describe your position on (insert issue... such as...) gun rights?,R_28YhaN2DlueSFB6-opinion-39,39-1-39
R_3elwRZBkpMcSxgJ,40,opinion,1,40,Do you believe there is global warming?,R_3elwRZBkpMcSxgJ-opinion-40,40-1-40
R_C7ZlaAKOW8KyCvn,41,opinion,1,41,What are your current opinions on our current president of the United States?,R_C7ZlaAKOW8KyCvn-opinion-41,41-1-41
R_bNkFeIyyVGys1pL,42,opinion,1,42,Do you think pro wrestling is fake?,R_bNkFeIyyVGys1pL-opinion-42,42-1-42
R_3dM76B8CY3DKRDs,43,opinion,1,43,How do you feel about abortion,R_3dM76B8CY3DKRDs-opinion-43,43-1-43
R_yQ6Cp0ED1LuqQEh,44,opinion,1,44,What do you believe will happen if the impact continues to grow?,R_yQ6Cp0ED1LuqQEh-opinion-44,44-1-44
R_1NmivLvyQP5Nlpn,45,opinion,1,45,What is your stance on abortion?,R_1NmivLvyQP5Nlpn-opinion-45,45-1-45
R_vVRz14z0kbfwnPX,46,opinion,1,46,What's your opinion on gun control?,R_vVRz14z0kbfwnPX-opinion-46,46-1-46
R_3iwpNdjMZPdAVIU,47,opinion,1,47,What is your stance on pitbull bans?,R_3iwpNdjMZPdAVIU-opinion-47,47-1-47
R_3IXl6TFELPDMbSv,48,opinion,1,48,What are your thoughts about abortion?,R_3IXl6TFELPDMbSv-opinion-48,48-1-48
R_3EQJi5cIVuMpimW,49,opinion,1,49,Should abortion be banned?,R_3EQJi5cIVuMpimW-opinion-49,49-1-49
R_3DuXOn0hCO3Ubj3,50,opinion,1,50,Do you believe that race alone can directly affect a person's intelligence?,R_3DuXOn0hCO3Ubj3-opinion-50,50-1-50
R_25N0kukhyUtWQQK,51,opinion,1,51,"why is someone charged for a double murder or manslaughter when a pregnant woman is killed, yet not murder in any other situation?",R_25N0kukhyUtWQQK-opinion-51,51-1-51
R_2pXkupgbGwXZHGM,52,opinion,1,52,How much control should an individual have over their own body vs their government?,R_2pXkupgbGwXZHGM-opinion-52,52-1-52
R_2YrZtEmY7B7XxLO,53,opinion,1,53,How do you feel about (controversial issue)?,R_2YrZtEmY7B7XxLO-opinion-53,53-1-53
R_z7lOtYTDiHOvwGd,54,opinion,1,54,Do you believe that it is a woman's choice to do with her body as she pleases?,R_z7lOtYTDiHOvwGd-opinion-54,54-1-54
R_308KnIrq8nVdXrP,55,opinion,1,55,Do you think large social media platforms like Twitter should have the right to regulate access to free speech on their platforms?,R_308KnIrq8nVdXrP-opinion-55,55-1-55
R_33rGmPyIqfJ0fDl,56,opinion,1,56,Should providing free labor be a condition to gain citizenship in the United States? Are reparations due to those who have?,R_33rGmPyIqfJ0fDl-opinion-56,56-1-56
R_3OiY9DH1KZ14oL0,57,opinion,1,57,What week should be the cutoff for an abortion?,R_3OiY9DH1KZ14oL0-opinion-57,57-1-57
R_1Fqvu9DkvX8CS71,58,opinion,1,58,Why should someone respect the they/them pronouns a coworker has asked to be referred by?,R_1Fqvu9DkvX8CS71-opinion-58,58-1-58
R_2tJaROaz5dVEB7X,59,opinion,1,59,What is a woman?,R_2tJaROaz5dVEB7X-opinion-59,59-1-59
R_2V2RPSHEciufkdy,60,opinion,1,60,why former president trump should be or not be allowed to run for that office again,R_2V2RPSHEciufkdy-opinion-60,60-1-60
R_ylj0NiUKCip6Ihj,61,opinion,1,61,How do you feel about immigration?,R_ylj0NiUKCip6Ihj-opinion-61,61-1-61
R_zSV23Qj1qdEyJFf,62,opinion,1,62,Should abortion be legal?,R_zSV23Qj1qdEyJFf-opinion-62,62-1-62
R_3F3Dw4vQgfMes0j,63,opinion,1,63,How has your life been affected by inflation recently?,R_3F3Dw4vQgfMes0j-opinion-63,63-1-63
R_1N3qT26GoR27nmq,64,opinion,1,64,What is your opinion about (Controversial issue),R_1N3qT26GoR27nmq-opinion-64,64-1-64
R_3MEXzQqchsXY0cC,65,opinion,1,65,What are your opinions on the current state and progression of America?,R_3MEXzQqchsXY0cC-opinion-65,65-1-65
R_2t9J0mXN6A3MIpb,66,opinion,1,66,Are you pro life or pro choice?,R_2t9J0mXN6A3MIpb-opinion-66,66-1-66
R_9FiLAUcEnooFI7D,67,opinion,1,67,Are you pro-life or pro-choice and why?,R_9FiLAUcEnooFI7D-opinion-67,67-1-67
R_3nebMjhuPSKZENg,68,opinion,1,68,How important is gun control to your lifestyle?,R_3nebMjhuPSKZENg-opinion-68,68-1-68
R_28CKfBNKqC6ncph,69,opinion,1,69,What are your thoughts on gun control?,R_28CKfBNKqC6ncph-opinion-69,69-1-69
R_31zOFEN9R6s1DKe,70,opinion,1,70,How would you feel if your vote didn't matter anymore?,R_31zOFEN9R6s1DKe-opinion-70,70-1-70
R_1jZWHYBJmcHqnEO,71,opinion,1,71,do you think genz is so messed up and why/why not?,R_1jZWHYBJmcHqnEO-opinion-71,71-1-71
R_22nTrCN6Bz5aUvX,72,opinion,1,72,What do think about what the things Kanye West has been saying lately?,R_22nTrCN6Bz5aUvX-opinion-72,72-1-72
R_3NPpdsdk482zcTc,73,opinion,1,73,What are your thoughts about the recent decision to reverse Roe vs Wade?,R_3NPpdsdk482zcTc-opinion-73,73-1-73
R_1YXJ49kOY0vfvPP,74,opinion,1,74,Why should we ban assault rifles in the United States?,R_1YXJ49kOY0vfvPP-opinion-74,74-1-74
R_Q49HdTFfJR5rbYR,75,opinion,1,75,How strongly do you feel about X issue?,R_Q49HdTFfJR5rbYR-opinion-75,75-1-75
R_3EyfV4l0N0EI67q,76,opinion,1,76,How would you tackle the controversial issue if you were in charge?,R_3EyfV4l0N0EI67q-opinion-76,76-1-76
R_33kEHmXGVytDkoo,77,opinion,1,77,Do you support or oppose abortion?,R_33kEHmXGVytDkoo-opinion-77,77-1-77
R_2feOV4PnmdZIo43,78,opinion,1,78,How do you feel about Andrew Tate?,R_2feOV4PnmdZIo43-opinion-78,78-1-78
R_2foJ98pHMv529it,79,opinion,1,79,What are your thoughts on abortion?,R_2foJ98pHMv529it-opinion-79,79-1-79
R_3HqA5EhiTCiTlqz,80,opinion,1,80,What are your thoughts about election integrity?,R_3HqA5EhiTCiTlqz-opinion-80,80-1-80
R_2SHaLh0UTVfWxFq,81,opinion,1,81,Should the government give cash reparations to the african americans?,R_2SHaLh0UTVfWxFq-opinion-81,81-1-81
R_1BREwNk7M4TjjSs,82,opinion,1,82,Should we have universal basic income?,R_1BREwNk7M4TjjSs-opinion-82,82-1-82
R_2EyqeQSgK68JAFD,83,opinion,1,83,How do you feel about the immigration problem in the United States?,R_2EyqeQSgK68JAFD-opinion-83,83-1-83
R_25BnxF5njWRZbtC,84,opinion,1,84,What are your beliefs regarding abortion and in what cases do you think it is appropriate??,R_25BnxF5njWRZbtC-opinion-84,84-1-84
R_3fCuy3cqD1gdRs4,85,opinion,1,85,What are your thoughts on this issue?,R_3fCuy3cqD1gdRs4-opinion-85,85-1-85
R_3fDyxDUQHkXlomT,86,opinion,1,86,How do you feel about conversion therapy?,R_3fDyxDUQHkXlomT-opinion-86,86-1-86
R_2BrZRy92mK4JcQC,87,opinion,1,87,Would you say you're more left or right leaning?,R_2BrZRy92mK4JcQC-opinion-87,87-1-87
R_tWnTEzP8TCPPDq1,88,opinion,1,88,"why do you like , or not like the biden administration?",R_tWnTEzP8TCPPDq1-opinion-88,88-1-88
R_3064KA2K2BjwoVu,89,opinion,1,89,What do you think about abortion?,R_3064KA2K2BjwoVu-opinion-89,89-1-89
R_2QEC0w7BI5d6pkB,90,opinion,1,90,How do you feel about the following topic?,R_2QEC0w7BI5d6pkB-opinion-90,90-1-90
R_2zeY2pN8n7l2X1i,91,opinion,1,91,How would you respond to this topic?,R_2zeY2pN8n7l2X1i-opinion-91,91-1-91
R_3fUFQnFCAQ2HkT7,92,opinion,1,92,What is your view on assisted suicide ?,R_3fUFQnFCAQ2HkT7-opinion-92,92-1-92
R_1JK5B6VzMfbqdCG,93,opinion,1,93,Do you believe the COVID Vaccine is safe?,R_1JK5B6VzMfbqdCG-opinion-93,93-1-93
R_1n9guxao5NarO6f,94,opinion,1,94,What is your view of Global warming,R_1n9guxao5NarO6f-opinion-94,94-1-94
R_1pVvOU3SZ3yAIqd,95,opinion,1,95,How did the Supreme Court's reversal of Roe v. Wade make you feel?,R_1pVvOU3SZ3yAIqd-opinion-95,95-1-95
R_50GOv74e8TGNZGF,96,opinion,1,96,What kinds of restrictions if any do you feel should be placed on abortions?,R_50GOv74e8TGNZGF-opinion-96,96-1-96
R_1MWiLr6Tl8iaxAB,97,opinion,1,97,What do you think of the pope adding homosexuality to god's will,R_1MWiLr6Tl8iaxAB-opinion-97,97-1-97
R_3J3nVkCLYfNVxlR,98,opinion,1,98,What is your opinion of Kanye West?,R_3J3nVkCLYfNVxlR-opinion-98,98-1-98
R_21ssbRXbuYDFqNk,99,opinion,1,99,What is your personal opinion about abortions?,R_21ssbRXbuYDFqNk-opinion-99,99-1-99
R_3Qm5LGE69N58kcp,100,opinion,1,100,How does this issue make you feel and why?,R_3Qm5LGE69N58kcp-opinion-100,100-1-100
R_2f7ij7zisN0W6cQ,101,opinion,1,101,Who did you vote for in the last presidential election?,R_2f7ij7zisN0W6cQ-opinion-101,101-1-101
R_1Ejlwmgs0mwxVgL,102,opinion,1,102,what do you think about abortion?,R_1Ejlwmgs0mwxVgL-opinion-102,102-1-102
R_ZBFIKAbTBnek7SN,103,opinion,1,103,What is your opinion on abortion right,R_ZBFIKAbTBnek7SN-opinion-103,103-1-103
R_NVmEH5ORGp38eTD,104,opinion,1,104,Do you support reparations for African Americans? Native Americans?,R_NVmEH5ORGp38eTD-opinion-104,104-1-104
R_41tWObnnIzshh3H,105,opinion,1,105,How do you feel about current abortion laws in the US?,R_41tWObnnIzshh3H-opinion-105,105-1-105
R_etWMudXrU6yCAhz,106,opinion,1,106,"How would you feel if you saw a white male, wearing a t shirt with confederate flag on it , at the grocery store.",R_etWMudXrU6yCAhz-opinion-106,106-1-106
R_2EsB1OBHnp5FGGu,107,opinion,1,107,What are your feelings on immigration in the US?,R_2EsB1OBHnp5FGGu-opinion-107,107-1-107
R_3HRAO2MWB4NVLMW,108,opinion,1,108,Have you had a religious experience that changed your life?,R_3HRAO2MWB4NVLMW-opinion-108,108-1-108
R_1LwkjwT0M5CryO2,109,opinion,1,109,Are you pro life or pro choice and why?,R_1LwkjwT0M5CryO2-opinion-109,109-1-109
R_PYBtXRAFoc7Gh8J,110,opinion,1,110,What would be some medically necessary reasons to have an abortion?,R_PYBtXRAFoc7Gh8J-opinion-110,110-1-110
R_3Ma0NUbSzqBu01t,111,opinion,1,111,Why do you disagree with the other point of view?,R_3Ma0NUbSzqBu01t-opinion-111,111-1-111
R_2319PS4jDxbUGtq,112,opinion,1,112,What is your opinion on an assault rifle ban?,R_2319PS4jDxbUGtq-opinion-112,112-1-112
R_1JRRKlBspAy0nyL,113,opinion,1,113,What is your opinion on abortion?,R_1JRRKlBspAy0nyL-opinion-113,113-1-113
R_eV5gxyGfLtobXUZ,114,opinion,1,114,What do you think should be done about the homeless in our country?,R_eV5gxyGfLtobXUZ-opinion-114,114-1-114
R_1HqVVzoq3xftk01,115,opinion,1,115,"What factors, natural and/or man-made, have contributed to climate change",R_1HqVVzoq3xftk01-opinion-115,115-1-115
R_4Irn4v7aw920uJz,116,opinion,1,116,What is your opinion on Roe v Wade?,R_4Irn4v7aw920uJz-opinion-116,116-1-116
R_21b6txWDknSIebs,117,opinion,1,117,Vaccine shots are effective at controlling the COVID virus.,R_21b6txWDknSIebs-opinion-117,117-1-117
R_3hEkK4psJnI4pa0,118,opinion,1,118,How do you feel about abortion?,R_3hEkK4psJnI4pa0-opinion-118,118-1-118
R_246tUYDDDiXaDDw,119,opinion,1,119,Are you pro life or pro choice?,R_246tUYDDDiXaDDw-opinion-119,119-1-119
R_2VDVb8gf68BisxK,120,opinion,1,120,What is your stance on abortion?,R_2VDVb8gf68BisxK-opinion-120,120-1-120
R_30qV6dZEAaFItyM,121,opinion,1,121,What are you opinions surrounding gun control?,R_30qV6dZEAaFItyM-opinion-121,121-1-121
R_1hAcAr8PBNmJ9g2,122,opinion,1,122,"Due to recent controversies with Elon Musk, Twitter, and Kanye West. Do you think there should be some type of regulation on free speech? Specifically hate speech.",R_1hAcAr8PBNmJ9g2-opinion-122,122-1-122
R_3I4bXP7sKa57dUM,123,opinion,1,123,How many weeks into a pregnancy will a fetus become viable?,R_3I4bXP7sKa57dUM-opinion-123,123-1-123
R_2uswAotc1t3Lfci,124,opinion,1,124,do you believe women have the right to abortion access?,R_2uswAotc1t3Lfci-opinion-124,124-1-124
R_54q4qoVNgn1H3FL,125,opinion,1,125,What is a conspiracy theory you believe to be true?,R_54q4qoVNgn1H3FL-opinion-125,125-1-125
R_1ImSKamLViu4OhC,126,opinion,1,126,What is a controversial issue for you?,R_1ImSKamLViu4OhC-opinion-126,126-1-126
R_2ffdghz0uWF3ovt,127,opinion,1,127,why some Christ followers who wants to convert people from other religions to theirs?,R_2ffdghz0uWF3ovt-opinion-127,127-1-127
R_2EAYW8Uvl4soSWE,128,opinion,1,128,Why do you believe rich people deserve better healthcare than poor people?,R_2EAYW8Uvl4soSWE-opinion-128,128-1-128
R_2XasM1FO8851dN2,129,opinion,1,129,How do you feel about global warming?,R_2XasM1FO8851dN2-opinion-129,129-1-129
R_24pABDXhJMLm0V2,130,opinion,1,130,What is your understanding of the issue of abortion and how do you feel about it?,R_24pABDXhJMLm0V2-opinion-130,130-1-130
R_1P67TruQH1j4iop,131,opinion,1,131,"Do you believe that human life has inherent value (that is, all human lives are in some way sacred)?",R_1P67TruQH1j4iop-opinion-131,131-1-131
R_3etvjJ76dyp7UHC,132,opinion,1,132,What are your opinions on birth control?,R_3etvjJ76dyp7UHC-opinion-132,132-1-132
R_OJpJLmAe1JCOag9,133,opinion,1,133,What do you think should be done about abortion rights in America?,R_OJpJLmAe1JCOag9-opinion-133,133-1-133
R_1Q3iYASwBVK0Smw,134,opinion,1,134,Why do you support or oppose gun control?,R_1Q3iYASwBVK0Smw-opinion-134,134-1-134
R_2YwVHMDtyZhIX79,135,opinion,1,135,What is your opinion of the GOP?,R_2YwVHMDtyZhIX79-opinion-135,135-1-135
R_3kFEaegQGBwR4cR,136,opinion,1,136,are you for or against abortion,R_3kFEaegQGBwR4cR-opinion-136,136-1-136
R_SOg7sSt3pZMZXP3,137,opinion,1,137,What was the impact of Trump's presidency on the course of American history?,R_SOg7sSt3pZMZXP3-opinion-137,137-1-137
R_yNEFSYIHpDvibgR,138,opinion,1,138,Does life begin at conception or at some later point?,R_yNEFSYIHpDvibgR-opinion-138,138-1-138
R_xiawgFkElv4RGk9,139,opinion,1,139,Do you believe women should have the right to an abortion,R_xiawgFkElv4RGk9-opinion-139,139-1-139
R_3HSnNvtk6VzYQOr,140,opinion,1,140,What are some of the benefits you see from espousing position A on issue X?,R_3HSnNvtk6VzYQOr-opinion-140,140-1-140
R_1hQ4p92ztggQad7,141,opinion,1,141,What is you personal moral standpoint on this issue?,R_1hQ4p92ztggQad7-opinion-141,141-1-141
R_2Ei5QZJX6lof1Aw,142,opinion,1,142,Are you for or against abortion rights and why?,R_2Ei5QZJX6lof1Aw-opinion-142,142-1-142
R_Zk8hwBTMgT0K0o1,143,opinion,1,143,Do you believe abortion should be illegal or legal?,R_Zk8hwBTMgT0K0o1-opinion-143,143-1-143
R_6gLCSEwPLCJz3tT,144,opinion,1,144,How do you feel about X,R_6gLCSEwPLCJz3tT-opinion-144,144-1-144
R_1eM0H34FsKNkMc0,145,opinion,1,145,What is one opinion you have that you'd be afraid to tell other people?,R_1eM0H34FsKNkMc0-opinion-145,145-1-145
R_2TpZmTcDla1D56G,146,opinion,1,146,Do you like trump.,R_2TpZmTcDla1D56G-opinion-146,146-1-146
R_u1XgjXiU94zFApX,147,opinion,1,147,"What is the difference between ""pro-life"" and ""pro-choice""?",R_u1XgjXiU94zFApX-opinion-147,147-1-147
R_2P6CNij4ilYIZiM,148,opinion,1,148,To what degree do you believe that election fraud occurs?,R_2P6CNij4ilYIZiM-opinion-148,148-1-148
R_2VwNQr9i5mq61xV,149,opinion,1,149,How would you describe your views on the morality of abortion?,R_2VwNQr9i5mq61xV-opinion-149,149-1-149
R_3oHrtwfehwIrMKv,150,opinion,1,150,Who is to blame for poverty and whose responsibility is it to fix the issues the create poverty,R_3oHrtwfehwIrMKv-opinion-150,150-1-150
R_2BqU4CP8xyJJey5,151,opinion,1,151,How restrictive should gun laws be?,R_2BqU4CP8xyJJey5-opinion-151,151-1-151
R_7PNNLIY4eTpwMPT,152,opinion,1,152,When should abortion be allowed?,R_7PNNLIY4eTpwMPT-opinion-152,152-1-152
R_2XoFTzGkCNSb4Sr,153,opinion,1,153,do you believe this to be true or untrue?,R_2XoFTzGkCNSb4Sr-opinion-153,153-1-153
R_2XbcM0RRjoAcB7E,154,opinion,1,154,Can you explain why you hold that position?,R_2XbcM0RRjoAcB7E-opinion-154,154-1-154
R_08Hp8XfWsmkI6pX,155,opinion,1,155,Question about abortion,R_08Hp8XfWsmkI6pX-opinion-155,155-1-155
R_21jKc00lBFSF1fv,156,opinion,1,156,"How has your opinion changed on this issue, if at all?",R_21jKc00lBFSF1fv-opinion-156,156-1-156
R_vYVG1mTC8oqrYbv,157,opinion,1,157,What is your stance on police brutality?,R_vYVG1mTC8oqrYbv-opinion-157,157-1-157
R_2qqRJjmGAAFeChM,158,opinion,1,158,How would you describe your current stance on controversial topics?,R_2qqRJjmGAAFeChM-opinion-158,158-1-158
R_33yypHCLAKwtoyy,159,opinion,1,159,Why do you think many vaccinations are required for students and by some businesses?,R_33yypHCLAKwtoyy-opinion-159,159-1-159
R_yWIJcOFW3LXG1pL,160,opinion,1,160,What are your opinions on abortion?,R_yWIJcOFW3LXG1pL-opinion-160,160-1-160
R_Xzf1cDxMwOxhKz7,161,opinion,1,161,"Is global warming happening and if yes, is it caused my natural causes or humans?",R_Xzf1cDxMwOxhKz7-opinion-161,161-1-161
R_3G0TgHNgUn0mFee,162,opinion,1,162,What are your thoughts on abortion bans and why?,R_3G0TgHNgUn0mFee-opinion-162,162-1-162
R_3CKtEu79AUUQAxZ,163,opinion,1,163,What is your opinion on climate change?,R_3CKtEu79AUUQAxZ-opinion-163,163-1-163
R_rpXsgTcHq54SmtP,164,opinion,1,164,Do you feel America handled the situation with Ukraine and Russia properly.,R_rpXsgTcHq54SmtP-opinion-164,164-1-164
R_2pQcaXGDCDwjy2r,165,opinion,1,165,Under what circumstances is it acceptable for social media platforms censor the information that can be shared on their sites?,R_2pQcaXGDCDwjy2r-opinion-165,165-1-165
R_1q4ZGypaGyaRBRl,166,opinion,1,166,"A politician claims to sponsor a bill that extends Medicaid to everyone in the state, what are you thoughts on this?",R_1q4ZGypaGyaRBRl-opinion-166,166-1-166
R_1nMYdGegqbdAVcA,167,opinion,1,167,Should abortion be made completely illegal?,R_1nMYdGegqbdAVcA-opinion-167,167-1-167
R_1nW9XpWNPxxS6di,168,opinion,1,168,"If you are against abortion, how responsible is the father for the child's care?",R_1nW9XpWNPxxS6di-opinion-168,168-1-168
R_2YzCoyxnYrFDS1p,169,opinion,1,169,"Without looking up online, what is your personal take on xyz issue?",R_2YzCoyxnYrFDS1p-opinion-169,169-1-169
R_2QMtCgqV6EMyhvy,170,opinion,1,170,In what ways do immigrants contribute both positively and negatively to American society?,R_2QMtCgqV6EMyhvy-opinion-170,170-1-170
R_2usUJmAgTJxqjCy,171,opinion,1,171,How has the government been too involved in the lives of American citizens?,R_2usUJmAgTJxqjCy-opinion-171,171-1-171
R_yClwRVxJTgFeV0Z,172,opinion,1,172,What do think about china's covid restrictions,R_yClwRVxJTgFeV0Z-opinion-172,172-1-172
R_1LCJMEMRZLglOfl,173,opinion,1,173,do you trust the results of the 2020 presidential elections?,R_1LCJMEMRZLglOfl-opinion-173,173-1-173
